id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10262,Home in Glocester · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,35244,Paula,Providence,Glocester,41.86683,-71.72481,Private room,65,1,37,2017-08-31,0.31,1,28,0,
15373,Home in Narragansett · ★4.83 · 13 bedrooms · 11 beds · 1.5 baths,60209,Brian,Washington,Narragansett,41.3919,-71.47568,Entire home/apt,475,7,6,2021-08-05,0.14,1,364,0,205978
50791,Rental unit in Providence · ★4.88 · 2 bedrooms · 2 beds · 2 baths,233834,Martina,Providence,Providence,41.81488,-71.43021,Entire home/apt,192,2,86,2023-10-08,0.53,3,269,3,RE.03989-STR
50817,Rental unit in Pawtucket · ★4.72 · 2 bedrooms · 3 beds · 1 bath,233965,Nancy,Providence,Pawtucket,41.88744,-71.35353,Entire home/apt,93,3,162,2023-11-28,1.01,1,0,6,"Reference ID #202912, Order ID #49951976"
51583,Rental unit in Providence · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,237379,Chip,Providence,Providence,41.81244,-71.42076,Private room,66,2,433,2023-12-11,2.70,6,86,17,
54963,Rental unit in Providence · ★4.90 · 2 bedrooms · 2 beds · 2 baths,233834,Martina,Providence,Providence,41.8163,-71.42956,Private room,78,2,120,2023-08-26,0.75,3,264,5,RE.03989-STR
55417,Rental unit in Providence · ★4.80 · 1 bedroom · 1 bed · 1 bath,236166,Marie,Providence,Providence,41.82226,-71.40092,Entire home/apt,125,2,46,2023-07-13,0.29,6,47,3,RE.02707-STR
55464,Home in South Kingstown · ★4.94 · 3 bedrooms · 4 beds · 1 bath,262000,Kathy,Washington,South Kingstown,41.46965,-71.44939,Entire home/apt,429,1,120,2023-10-29,0.86,1,0,9,212092
84167,Rental unit in East Providence · ★4.89 · 2 bedrooms · 2 beds · 1 bath,148703,Michael,Providence,East Providence,41.82666,-71.37689,Entire home/apt,112,2,473,2023-12-26,3.06,2,157,37,"STR-23-4, RE.00545-STR"
106617,Guesthouse in Little Compton · ★4.89 · 4 bedrooms · 6 beds · 1 bath,357017,Catherine,Newport,Little Compton,41.47548,-71.17867,Entire home/apt,275,7,61,2023-07-01,0.40,1,213,1,
